OBJECTID,CHITRT0_,CHITRT0_ID,TRACT,STATE,COUNTY,CNTYTRT,POPU,Dist_5_mi,Dist_10_mi,Dist_15_mi,Dist_20_mi,Beta_6,Beta_8,Beta_10,Beta_12,Beta_14,Beta_16,Beta_18,Dist
1,2,18,860301,17,97,97860301,3933,0.453108112,1.157809712,0.923622102,0.777031472,1.623149813,1.370746007,1.172929121,1.033386486,0.953687932,0.926962037,0.934312664,0
2,3,19,860302,17,97,97860302,3210,0.453108112,1.157809712,0.906111753,0.772845918,1.618364473,1.357431114,1.142261741,0.970533693,0.837693112,0.73550156,0.653062724,0
3,4,21,860500,17,97,97860500,5314,0.453108112,1.185495971,1.026639789,0.799261094,1.644306528,1.385117851,1.166245487,0.982606379,0.827187153,0.692531532,0.573584007,0
4,5,25,861008,17,97,97861008,5675,0.336176088,1.2006904,1.265410958,1.056903185,1.648473223,1.394237886,1.180921141,1.004297861,0.859641529,0.741805003,0.645562263,0
5,6,34,861011,17,97,97861011,7014,0.46168901,1.045577492,1.351072606,1.101934085,1.661503256,1.407882533,1.193357556,1.013832081,0.864661661,0.740575737,0.636312589,0
6,7,40,861803,17,97,97861803,5945,1.983121067,1.501835997,1.111781826,0.930708761,1.756671184,1.542895621,1.384617246,1.283909841,1.237099554,1.232202108,1.251536431,0
7,8,45,861702,17,97,97861702,4037,1.743825889,1.501835997,1.257246462,0.929377027,1.782151759,1.564303913,1.386834121,1.239538953,1.10527916,0.968244346,0.824566467,0
8,9,47,861805,17,97,97861805,2541,2.569395897,1.501835997,1.303416797,0.974080262,1.810829437,1.612228747,1.46215275,1.349744881,1.252886263,1.147671449,1.023569069,0
9,10,48,861902,17,97,97861902,5849,2.569395897,1.855792629,1.306927528,1.035834935,1.833664059,1.651377089,1.524544833,1.442354294,1.380001123,1.308481133,1.212056554,0
10,11,49,861804,17,97,97861804,4029,2.569395897,1.501835997,1.303416797,0.954939278,1.815824811,1.622510754,1.480458718,1.378894231,1.294745508,1.202057845,1.088007651,0
11,12,53,861605,17,97,97861605,12155,1.078712807,1.829299798,1.501037126,1.176615837,1.805843019,1.6013341,1.443745155,1.330523754,1.255628023,1.211107563,1.189397677,0
12,13,54,861301,17,97,97861301,4154,0.438350086,1.036485506,1.344857991,1.23063478,1.676237818,1.423829417,1.20836179,1.025326538,0.869717646,0.7364486,0.621642772,0
13,14,55,861201,17,97,97861201,7019,0.438350086,1.265929459,1.471600642,1.298589177,1.709981949,1.464625147,1.254825783,1.076085508,0.923229265,0.791095974,0.675848528,0
14,15,59,862100,17,97,97862100,5714,1.81915035,1.770709652,1.303416797,0.974080262,1.831629724,1.640545665,1.500114324,1.399406636,1.314284126,1.217770083,1.097484227,0
15,16,62,861303,17,97,97861303,4837,0.438350086,1.265929459,1.344857991,1.298589177,1.694135059,1.445979041,1.234813972,1.056723528,0.907237044,0.781552834,0.675515279,0
16,17,63,861815,17,97,97861815,839,2.644720357,1.770709652,1.303416797,0.974080262,1.853763082,1.684664581,1.579928761,1.530394398,1.507538612,1.473361611,1.403392216,0
17,18,64,862000,17,97,97862000,6201,2.644720357,1.770709652,1.303416797,0.974080262,1.898537459,1.767974976,1.731040712,1.788631705,1.910503042,2.039923253,2.125618222,0
18,19,65,861304,17,97,97861304,3496,0.438350086,1.265929459,1.465386027,1.298589177,1.709118741,1.465749535,1.261064968,1.092902751,0.958810591,0.855556401,0.779061773,0
19,20,66,862401,17,97,97862401,3982,1.81915035,1.770709652,1.303416797,1.018399674,1.880712444,1.720195103,1.62689968,1.592757842,1.587968252,1.571020901,1.51409481,0
20,21,67,861510,17,97,97861510,4668,2.644720357,1.99918865,1.408131284,1.204185594,1.894083729,1.733905851,1.632620782,1.58046993,1.553307765,1.522315405,1.470531217,0
21,22,69,861104,17,97,97861104,9916,0.375403398,1.453552199,1.490174741,1.283055228,1.767560339,1.535484038,1.337347986,1.16881637,1.024547076,0.899289645,0.789121428,0
22,23,70,862603,17,97,97862603,6048,2.644720357,1.819918618,1.393408084,1.121313886,1.937349452,1.849286457,1.891797626,2.083183329,2.400545868,2.773710241,3.121663728,0
23,24,71,861403,17,97,97861403,2659,0.438350086,1.265929459,1.777130809,1.318832859,1.734141773,1.499132568,1.306426799,1.157967373,1.05691607,1.006078447,1.005391193,0
24,25,72,862402,17,97,97862402,3856,1.81915035,1.770709652,1.354397808,1.023183282,1.915251966,1.77575576,1.715287889,1.728805502,1.783970876,1.830006679,1.827815424,0
25,26,74,861404,17,97,97861404,4704,0.40065975,1.265929459,1.657264603,1.382331614,1.750683829,1.514823407,1.314292732,1.14576742,1.00509952,0.887603731,0.788750162,0
26,27,75,862604,17,97,97862604,4241,2.977681734,1.919763193,1.393408084,1.121313886,2.007882457,1.995070637,2.190162295,2.66233482,3.429715398,4.423383078,5.52043365,0
27,28,77,862501,17,97,97862501,4437,2.152111726,1.770709652,1.389897353,1.045201836,1.975705771,1.910020434,1.992364473,2.251104301,2.668283496,3.168107963,3.65598411,0
28,29,78,862300,17,97,97862300,3487,2.152111726,1.770709652,1.332547155,1.053413371,1.910565828,1.7450887,1.634295016,1.567108948,1.514747091,1.442852523,1.333806776,0
